id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Coihaique,CL,-45.5752,-72.0662,56.01,47,0,5.75,clear sky
1,Qasigiannguit,GL,68.8193,-51.1922,17.71,91,100,4.76,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,74.25,67,30,7.81,scattered clouds
3,Hasaki,JP,35.7333,140.8333,43.2,37,37,8.63,scattered clouds
4,Hithadhoo,MV,-0.6,73.0833,80.13,75,94,9.98,overcast clouds
5,Mahebourg,MU,-20.4081,57.7,74.25,81,49,11.18,light rain
6,Esperance,AU,-33.8667,121.9,65.86,54,35,14.76,scattered clouds
7,Doembang Nangbuat,TH,14.8333,100.1,70.05,67,30,7.52,scattered clouds
8,Hobart,AU,-42.8794,147.3294,53.22,87,75,16.11,broken clouds
9,Santa Cruz De Tenerife,ES,28.4682,-16.2546,68.61,83,75,15.01,broken clouds
10,Jamestown,US,42.097,-79.2353,32.18,43,100,5.01,overcast clouds
11,Atambua,ID,-9.1061,124.8925,83.88,62,94,2.35,overcast clouds
12,Bluff,NZ,-46.6,168.3333,63.81,82,29,16.04,scattered clouds
13,Albany,US,42.6001,-73.9662,28.63,74,11,4.0,few clouds
14,Vaini,TO,-21.2,-175.2,79.03,72,0,1.52,clear sky
15,Poum,NC,-20.2333,164.0167,79.86,69,0,5.48,clear sky
16,Longyearbyen,SJ,78.2186,15.6401,3.04,66,40,9.22,scattered clouds
17,Dikson,RU,73.5069,80.5464,4.5,93,100,9.6,overcast clouds
18,Bredasdorp,ZA,-34.5322,20.0403,68.88,92,60,3.31,broken clouds
19,Carnarvon,AU,-24.8667,113.6333,75.34,59,0,21.52,clear sky
20,Qaanaaq,GL,77.484,-69.3632,9.41,87,100,7.54,overcast clouds
21,Egvekinot,RU,66.3167,-179.1667,-11.97,94,100,8.1,overcast clouds
22,Kibala,TD,9.1104,18.3463,75.52,21,0,4.36,clear sky
23,Lagoa,PT,39.05,-27.9833,57.83,60,73,21.81,broken clouds
24,Punta Arenas,CL,-53.15,-70.9167,48.31,66,75,23.02,broken clouds
25,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,87,100,11.18,light shower snow
26,Busselton,AU,-33.65,115.3333,72.41,50,0,11.07,clear sky
27,Neiafu,TO,-18.65,-173.9833,81.46,70,0,5.14,clear sky
28,Mataura,NZ,-46.1927,168.8643,63.48,40,4,3.27,clear sky
29,Paamiut,GL,61.994,-49.6678,17.42,69,100,6.55,overcast clouds
30,Vikhorevka,RU,56.1201,101.1636,-14.76,94,100,7.43,overcast clouds
31,Port Elizabeth,ZA,-33.918,25.5701,65.1,97,0,4.92,clear sky
32,Bambous Virieux,MU,-20.3428,57.7575,74.21,83,52,11.21,light rain
33,Kapaa,US,22.0752,-159.319,80.11,71,30,4.0,scattered clouds
34,Sioux Lookout,CA,50.1001,-91.917,28.81,89,100,11.61,snow
35,Menongue,AO,-14.6585,17.691,61.83,97,79,5.5,broken clouds
36,Saint-Augustin,CA,51.226,-58.6502,34.93,76,100,24.32,overcast clouds
37,Vila Franca Do Campo,PT,37.7167,-25.4333,57.61,62,75,20.71,broken clouds
38,Saint-Philippe,RE,-21.3585,55.7679,72.99,86,27,10.09,scattered clouds
39,Arraial Do Cabo,BR,-22.9661,-42.0278,72.36,68,0,8.79,clear sky
